val1,val2,val3,last_matrix,num_moves_Q_learning_needs,min_a_b_sqrt_c
-4,-1,-6,4,11,1.0
-11,48,-7,2,19,6.928203230275509
-6,-2,-4,2,11,1.4142135623730951
4,-51,-12,1,23,4.0
-10,-7,0,4,11,0.0
6,-21,-2,2,11,2.0
2,-6,-6,1,7,2.0
11,36,1,3,17,1.0
-4,-17,2,4,11,2.0
-6,-27,12,2,19,5.196152422706632
-7,7,-1,2,7,1.0
-5,-56,13,1,21,5.0
4,6,4,4,7,2.449489742783178
2,1,6,2,7,1.0
11,-43,-5,2,23,5.0
1,10,-5,3,9,1.0
0,4,4,3,5,0.0
-1,7,-7,4,7,1.0
3,-37,1,4,23,1.0
0,-1,4,4,5,0.0
-2,-2,2,2,3,1.4142135623730951
0,30,2,2,23,0.0
-4,15,-4,3,7,3.872983346207417
3,21,1,4,15,1.0
4,9,6,4,9,3.0
11,-33,-5,1,15,5.0
-1,-24,7,1,13,1.0
-1,-32,11,2,15,1.0
8,15,2,3,9,2.0
5,-17,-3,1,9,3.0
-1,-3,7,2,7,1.0
-5,13,-3,1,7,3.0
7,-26,-1,3,15,1.0
-11,-6,-1,4,13,1.0
-10,25,-6,3,17,5.0
4,0,-4,2,7,0.0
9,-45,-11,4,23,6.708203932499369
1,-14,-1,4,13,1.0
10,-45,-4,1,17,4.0
2,2,-4,1,7,1.4142135623730951
-5,7,1,2,9,1.0
8,-20,-4,4,11,4.0
-3,4,-3,2,5,2.0
1,8,5,3,7,1.0
6,-40,-4,3,25,4.0
-2,-2,0,3,3,0.0
4,16,-4,3,15,4.0
-3,-2,1,2,3,1.0
-5,-31,5,4,13,5.0
-2,-1,6,1,7,1.0
8,25,2,4,13,2.0
0,5,0,4,9,0.0
14,9,4,1,21,3.0
5,4,1,3,5,1.0
2,9,2,3,7,2.0
-5,-10,3,4,7,3.0
-2,-2,4,2,5,1.4142135623730951
2,-7,-6,1,7,2.0
-9,43,-13,3,23,6.557438524302
-4,2,-4,2,7,1.4142135623730951
-4,-6,2,3,5,2.0
8,-45,-8,2,19,6.708203932499369
-10,50,-8,1,21,7.0710678118654755
5,26,7,1,11,5.0
5,-18,-3,1,9,3.0
-6,13,6,4,15,3.605551275463989
-9,12,3,4,19,3.0
9,14,7,1,15,3.7416573867739413
-1,-6,1,1,7,1.0
0,-7,-8,2,9,0.0
-1,-30,7,1,15,1.0
-1,-1,-9,4,11,1.0
